Title,Speaker,Room,StartTime,Tags,Description
dot net on Linux: Zero to Hero In Minutes,Don Schenck,213,"08:30",".NET,Linux,.NET Core,ASP .NET,MVC","dot net Core 1.0 is the new dot net. ASP dot net Core 1.0 is the new ASP dot net. dot net on Linux is the new hotness. In only minutes, you'll learn how to install dot net on Linux and create your first program. You'll learn about: the different parts of dot net Core 1.0; package managers and NuGet; the new command line interface (CoreCLI); and a great editor that is not Visual Studio. By the end of this presentation, you will know how to create a C# program that runs on Linux. No smoke, no mirrors, no tricks; it just works. We’ll see how to create a basic MVC program, and then we’ll run that program in a Linux container. Finally, we’ll debug the program, running in a Linux container, *from within Visual Studio running on Windows*. You'll also learn why this is important to you and your organization. Finally, you'll leave with all the tools needed to start right away, including a Developer's Copy of Red Hat Enterprise Linux (RHEL) that you can start using on your PC or Mac today."
Angular 2 - are we there yet?,Kevin Hennessy,212,"08:30","Angular,JavaScript,web","Just like kids in the back seat of the car on the way to a summer destination, we developers keep asking this question about Angular 2. The answer to the question came on September 14 when the Angular team announced the release of Angular 2. So now is the time to start getting familiar with the new version of this popular JavaScript framework. In this code-centric session we'll first look at a simple app that demonstrates the basic building blocks of Angular 2. From there we'll move on to a more complete application and explore key features of Angular 2 like the router, forms and the HTTP module."
Faster Deployments by Dockerizing ASP dot net Core Applications,Kevin Griffin,213,"09:45","Docker,ASP .NET,.NET Core","Two amazing new technologies are coming into the limelight: ASP dot net Core and Docker. Docker has provided developers the unique ability to package their applications into small, bite-sized containers that allow for quick delivery to any Docker platform around the world. Updating one to thousands of nodes can be done within seconds. ASP dot net Core is a new, radical approach to the platform we have known and loved for fifteen years. New changes to ASP dot net Core to focus on cross-platform support has made it a prime target for dockerizing. In this presentation, you will learn how to build a simple ASP dot net Core application from the ground up, and deploy it to datacenters around the world with few simple commands. Learning Objectives: Attendees will learn about Docker, and how Docker containers work Attendees will learn how to create simple applications with ASP dot net Core Attendees will learn how to package an ASP dot net Core application with Docker for deployment."
Big Data In the Enterprise,Anita Luthra,215,"09:45","big data,enterprise,architecture","For fellow developers/architects/business users. We hear the buzz terms on big data and when we speak of it in the workplace, have you had puzzled looks or questions such as .. where does it fit? Why do we need it? How do we integrate it? We will take a look at how big data fits in the enterprise and an architectural design platform on how to incorporate it. Although the architectural principles apply to big data in general (open source), we will use the layout of the Hortonworks platform as an example. Feel free to come in with your insights, questions, experiences ..."
Building a Better Angular 2 Dev Environment using Visual Studio and TypeScript,Sidney Andrews,212,"09:45","TypeScript,Angular,JavaScript,web","Angular 2 has dramatically changed the way Angular applications are built and this requires you to rethink the way you build Angular applications. When creating our Angular 2 course on edX.org (https://www.edx.org/course/developing-dynamic-web-applications-microsoft-dev216x), the Microsoft authoring team decided very early that we will teach the course using Yeoman generators and Visual Studio Code so that it is open to everyone. In this talk, we are going to talk about some of the things learned while this course was built and how you can use Visual Studio Code to manage your NPM packages, debug your application using lite-server, compile your TypeScript code, customize your environment to hide generated JS files, run Yeoman generators and even run Grunt/Gulp tasks all directly in the IDE. We are also going to look at a ""template"" Angular 2 application that takes advantage of many of these features to give us a developer experience we normally expect from a much more robust IDE. By time we are done, you will be able to run the Yeoman generator yourself on a clean install of Visual Studio Code and get started developing Angular 2 applications today."
Building a European Bakery Web Application with React.js and Node.js,Jean-Marcel Belmont,212,"15:00","web,Node,Node JS,React,React JS","Building a rich FrontEnd UI with React.js, React-Router, Redux and a Robust Backend System with Node.js, and Express.js. This presentation will demonstrate how to build an isomorphic application (JavaScript FrontEnd and Backend) complete with unit tests in Mocha.js and snapshot testing with Jest (React.js testing library that helps test components). This application will have an initial login system and have multiple web pages showing recipes at bakery/pizzeria. There will also be an order checkout system."
Domain Driven Design in 60 Minutes,Diane Wilson,215,"08:30","DDD,domain-driven design,architecture","Skeptical about yet another design methodology? Intimidated by the terminology? Curious about what the hubbub is all about? Come ride the whirlwind as we take a tour through concepts such as ubiquitous language, model-driven design, bounded contexts, and context maps. Glide through the updrafts as we translate concepts into architecture, coding practices, and working applications. Arrive to a new understanding of how to deal with complexity in software!"
Echo Echo : Developing Amazon Alexa Skills,Jay Hill,213,"15:00","AWS,Amazon,Amazon Alexa,Alexa,Echo,IOT","What does it take to develop a voice interaction app -- a ""skill"" -- for the Amazon Alexa platform? You can create a basic skill on Amazon AWS for free, with very little effort and no prior experience with voice recognition, synthesis, or machine learning models. This session will explore the Alexa Skills Kit (""ASK""), the architecture and interaction model of a skill and voice UI design considerations and we will build a skill with a compelling interaction model from scratch."
Getting started with Entity Framework Core,Jim Wooley,213,"11:00",".NET Core,EF,Entity Framework,data access","With the cross-platform version of dot net, Microsoft has had to rewrite many of the core components that we have come to depend on. If you include data in your applications, chances are you have used Entity Framework in the past. In this session, you'll learn how to get started using EF Core and how to handle the changes in this version."
"Hey Cortana, what are Reactive Extensions for dot net?",David Driscoll,214,"12:30","Reactive Extension,RX","In this talk we will dive into the Reactive Extensions dot net library. Reactive Extensions allows you to observe events, as if they were collections, and then react to the ever changing stream of events. In addition, Microsoft’s Cortana is powered by RX dot net, to allow developers to observe the world. In this talk we will discuss the fundamentals of RX dot net. • What are Reactive Extensions? • What is an Observable? • What is an Observer? • Linq for events?? All these questions and more will be answered! So come observe how RX dot net might help you."
Intro to using Datatables,Richard Scott,212,"12:30","DataTables,data tables,JQuery,JavaScript","DataTables is a plug-in for the jQuery JavaScript library that enables Client Side (browser) manipulation of tables. It is a highly flexible tool, based upon JQuery and will add advanced interaction controls to any HTML table."
Introduction to Microservices and Azure Service Fabric,Keith Wood,214,"15:00","microservices,cloud,azure,service fabric,services,architecture","Microservices Architecture is becoming an extremely popular way to design and develop applications in the age of the cloud. As we go through this evolution, we have powerful new platforms to host these services. This talk will focus on developing applications using a Microservices pattern, hosting them in Azure Service Fabric, while utilizing the power of this platform to manage application state and scale."
I O T for the Software Developer,Ian Hoppes,213,"12:30","IOT,Azure,Raspberry Pi","You’ve probably heard the buzz surrounding the Internet of Things (IOT). Want to learn more but don’t know where to start as a software developer? Things couldn’t be easier today - no circuit design or soldering experience required! We’ll cover some basic electronics, discuss the components of an IOT solution, and put together a demonstration using Windows 10 IOT Core on Raspberry Pi, SeeedStudio Grove sensors, and Azure IOT Suite."
Javascript Async Patterns,Kip Streithorst,212,"13:45","JavaScript,web","This session will cover patterns you can use for your asynchronous code in Javascript, specifically javascript in the browser. We will discuss callbacks and promises which you can use today. We will touch on upcoming patterns like async/await keywords which may be added in a future version of Javascript. Hopefully you come with away with some ideas about how to improve your async code and some idea of the pros/cons of the various patterns."
Learn to Program in ES6 now using TypeScript,Kumanan Murugesan,212,"11:00","TypeScript,JavaScript,ES6,web","TypeScript is becoming the most popular tools to develop large scale JavaScript applications. ECMAScript 6 (ES6/ES2015) is not fully supported in all the browsers. TypeScript offers support for the latest and evolving JavaScript features, including those from ECMAScript 2015 and future proposals, like async functions and decorators, to help build robust components. The following topics will be discussed. 1. Why should we use TypeScript. 2. Setting up TypeScript 3. Using third party JavaScript files in TypeScript 4. Use some ES6 features in TypeScript"
Machine Learning On The dot net Stack,Jamie Dixon,214,"13:45","ML,machine learning,Azure,AWS","In this session, we will have an overview of machine learning options for the dot net developer. We will consider cloud-based services like Azure Cortana, IBM Watson, and AWS. We will also look at in-process libraries like Accord dot net, numl, and ecog dot net. This session will include portions from my upcoming book from Packt publishing: Machine Learning Using dot net"
Mind Blowing Internet of Things Projects,Dan Thyer,213,"13:45","IOT,Azure,Echo,Amazon Echo,Alexa,Raspberry Pi","We live in an exciting time where more and more everyday items “things” are becoming smart! “Things” have sensors and can communicate to other “things” and can provide control to more “things”! The Internet of Things, IOT, is upon us in a huge way and makers are rapidly inventing cool gadgets every day! See Dan’s latest IOT projects leveraging technology from Microsoft, Amazon Echo and Particle. Dan leverages Microsoft Windows 10 IOT Core running on the Raspberry Pi and connects to services in Azure. Dan uses Bluetooth Beacons and Azure Machine Learning to predict the health of his pets! Dan will also talk about his very own IOT, home automation system that he built that is controlling more than 30 different things with 5 different types of microcontrollers. Most of the code is open source and his articles and videos have about a million views. We will talk about the types of microcontrollers and microprocessors used and the strengths and weaknesses of each."
M V V M Done Right with Xamarin.Forms and Prism,Brian Lagunas,214,"09:45","Xamarin,MVVM,XAML,Xamarin Forms","Xamarin.Forms enables developers to create cross platform native mobile apps, using C# and XAML, from a single codebase. This is especially great if you are an experienced XAML developer, because Xamarin.Forms lets you take your current XAML skills mobile to bridge the gap between the Windows world and the mobile world, and makes you feel comfortable building native cross platform applications. Having said that, if you develop in XAML, you design your apps with MVVM at the core of your app architecture. That’s where the problem lies with Xamarin.Forms. It’s no secret that developing MVVM friendly Xamarin.Forms applications can be challenging to say the least. It’s messaging center is static, it’s dependency service is static, its system for showing alerts requires a page instance, no built-in logging, and the most important issue of them all is that its entire navigation system depends on page instances. Where does this leave us? It leaves you with a not-so MVVM friendly application with static references and Page objects scattered throughout your ViewModels. This makes things much more difficult to test, maintain, scale, and not to mention violates just about every MVVM principle out there. Join Brian Lagunas in this session to learn how we can remove the static classes, remove the page references, and remove the code-behind by leveraging the features of Prism for Xamarin.Forms to create pure MVVM Xamarin.Forms applications with logging, commanding, event aggregation, IoC, MVVM, dialog services, and truly decoupled navigation in your Xamarin.Forms applications."
Software Craftsmanship and Agile Code Games,Mike Clement,215,"15:00","agile,craftsmanship,software craftsmanship","Musicians and athletes spend most of their time practicing, not performing. As software developers if we only practice and learn on the job, then we will continue to make mistakes on code meant for customers. On the job, we can only deliver features as fast as the code base and our skills allow us. We must improve the quality of our skills which will in turn improve the quality of our code base. We must take the time to practice allowing ourselves to improve our skills and develop better “code sense”. Learn how the Software Craftsmanship Manifesto (http://manifesto.softwarecraftsmanship.org/) provides a framework for us to improve in our craft. By learning a variety of code games we can collect a full toolbelt of activities that will help us improve as individuals. We can then take these games and give others the opportunity to improve and raise the level of the whole community. We’ll take a whirlwind tour of some different agile code games that will help us improve our craft."
Rapid Xamarin Forms XAML Data Entry Form Creation from M V V M ViewModel,Karl Shifflett,214,"11:00","Xamarin,Xamarin Forms,MVVM,XAML","Come learn how you can rapidly create XAML data entry forms for iOS & Android (via Xamarin.Forms), UWP, and WPF applications using ""XAML Power Toys for Visual Studio 2015"" (aka the tool), is a free, open source, RAD, data-driven, drag & drop tool for rapidly creating data entry forms for current Microsoft XAML technologies: Xamarin.Forms, UWP, and WPF. After a lightning fast demo of the tool, we will get everyone on the same page with MVVM, PCL, Shared Projects, and Xamarin.Forms. We'll spend the remainder of the session creating data entry forms with a focus on iOS & Android via Xamarin.Forms, and Windows 10/UWP scenarios. Gone are the days of tedious XAML editing for data entry forms. This is a free Visual Studio 2015 package that both mobile & desktop developers will enjoy."
Release Management with Team Services,Paul Hacker,215,"13:45","Team Services,DevOps","Learn the fundamentals of Release Management, how it relates to DevOps, and benefits it and continuous deployment bring to any organization. More specifically, I will present an overview of Release Management. I will also cover what Visual Studio Team Services and Team Foundation Services are. We will look at the new Cross-Platform build system, discuss DevOps practices, and benefits of Release Management. Walk away with the knowledge you need to get started with Release Management Team Services."
